Name,7-year Repayment Rate,Net Price,Income Range
Alabama A & M University,0.368582376,13893,0-30K
University of Alabama at Birmingham,0.599036403,14550,0-30K
Amridge University,0.398734177,15322,0-30K
University of Alabama in Huntsville,0.565621371,17561,0-30K
Alabama State University,0.308693631,11344,0-30K
The University of Alabama,0.605305902,18515,0-30K
Central Alabama Community College,0.334545455,2228,0-30K
Auburn University at Montgomery,0.43877551,10877,0-30K
Auburn University,0.690476191,18617,0-30K
Birmingham-Southern College,0.565789474,24110,0-30K
Chattahoochee Valley Community College,0.328282828,1016,0-30K
South University-Montgomery,0.278613072,22324,0-30K
Enterprise State Community College,0.441269841,2732,0-30K
Coastal Alabama Community College,0.349862259,4818,0-30K
Faulkner University,0.384364821,26663,0-30K
George C Wallace State Community College-Hanceville,0.416528926,5327,0-30K
Herzing University-Birmingham,0.323170732,17958,0-30K
Huntingdon College,0.512048193,17993,0-30K
Jacksonville State University,0.403253922,14370,0-30K
Jefferson State Community College,0.433161954,7739,0-30K
John C Calhoun State Community College,0.395091053,3704,0-30K
Judson College,0.53030303,15918,0-30K
University of West Alabama,0.393759287,12711,0-30K
Marion Military Institute,0.440677966,9580,0-30K
Miles College,0.224821974,15071,0-30K
University of Mobile,0.423267327,12074,0-30K
University of Montevallo,0.56010929,13905,0-30K
Northwest-Shoals Community College,0.378415301,5738,0-30K
University of North Alabama,0.542576419,10474,0-30K
Oakwood University,0.338888889,25548,0-30K
Samford University,0.636363636,24005,0-30K
University of South Alabama,0.477505568,10941,0-30K
Spring Hill College,0.517948718,16022,0-30K
Stillman College,0.256532067,13821,0-30K
Talladega College,0.144736842,16402,0-30K
Troy University,0.397236615,13119,0-30K
Tuskegee University,0.517730497,34135,0-30K
University of Alaska Anchorage,0.607425441,11410,0-30K
University of Alaska Fairbanks,0.55239521,9366,0-30K
University of Alaska Southeast,0.52244898,8200,0-30K
Alaska Pacific University,0.574468085,18593,0-30K
Arizona State University-Tempe,0.608489796,7300,0-30K
University of Arizona,0.68520538,10234,0-30K
Cochise County Community College District,0.381663113,6120,0-30K
Embry-Riddle Aeronautical University-Prescott,0.670274771,28209,0-30K
Grand Canyon University,0.282824055,18438,0-30K
Mesa Community College,0.426803395,6821,0-30K
Mohave Community College,0.283959538,7751,0-30K
Northern Arizona University,0.563420622,10999,0-30K
Phoenix College,0.3847981,6745,0-30K
Prescott College,0.60952381,14993,0-30K
Scottsdale Community College,0.489715965,7387,0-30K
South Mountain Community College,0.281045752,6525,0-30K
Arizona Christian University,0.566666667,18892,0-30K
University of Arkansas at Little Rock,0.473032714,9633,0-30K
Arkansas Baptist College,0.198412698,16027,0-30K
Lyon College,0.537037037,12983,0-30K
University of Arkansas,0.628618693,11447,0-30K
University of Arkansas at Pine Bluff,0.354301573,9727,0-30K
Arkansas State University-Main Campus,0.451988751,11376,0-30K
Arkansas Tech University,0.458298231,11077,0-30K
Baptist Health College Little Rock,0.579787234,22848,0-30K
University of Central Arkansas,0.529722589,13176,0-30K
Central Baptist College,0.525,16565,0-30K
Crowley's Ridge College,0.371428571,12799,0-30K
National Park College,0.354609929,7892,0-30K
Harding University,0.62195122,14795,0-30K
Henderson State University,0.4992,16341,0-30K
John Brown University,0.743190662,20157,0-30K
Ouachita Baptist University,0.702380952,15847,0-30K
University of the Ozarks,0.537037037,12615,0-30K
Philander Smith College,0.401606426,14063,0-30K
Williams Baptist University,0.557692308,16506,0-30K
Southern Arkansas University Main Campus,0.443830571,12362,0-30K
University of Arkansas-Fort Smith,0.46393972,9102,0-30K
Academy of Art University,0.398987933,29839,0-30K
Allan Hancock College,0.372340426,2402,0-30K
American Academy of Dramatic Arts-Los Angeles,0.415730337,35912,0-30K
Antelope Valley College,0.23752255,5344,0-30K
Art Center College of Design,0.694516971,36451,0-30K
Azusa Pacific University,0.728506787,13786,0-30K
Bakersfield College,0.353271028,5353,0-30K
Biola University,0.759911894,24865,0-30K
Bryan University,0.390862944,18687,0-30K
Butte College,0.376633359,3238,0-30K
Cabrillo College,0.525906736,6449,0-30K
California Baptist University,0.587188612,17412,0-30K
California College of the Arts,0.686868687,27577,0-30K
California Lutheran University,0.703883495,20603,0-30K
California Polytechnic State University-San Luis Obispo,0.855195911,13301,0-30K
California State University-Bakersfield,0.584262295,3862,0-30K
California State University-Stanislaus,0.714170692,3483,0-30K
California State University-San Bernardino,0.538171859,5977,0-30K
California State Polytechnic University-Pomona,0.765084075,9510,0-30K
California State University-Chico,0.702884615,9967,0-30K
California State University-Dominguez Hills,0.53271028,1888,0-30K
California State University-Fresno,0.666782851,4067,0-30K
California State University-Fullerton,0.739390487,4843,0-30K
California State University-East Bay,0.654295882,8106,0-30K
California State University-Long Beach,0.762711864,5735,0-30K
California State University-Los Angeles,0.614718615,2055,0-30K
California State University-Northridge,0.645328361,5767,0-30K
California State University-Sacramento,0.702872777,6680,0-30K
University of California-Berkeley,0.770670827,8043,0-30K
University of California-Davis,0.827099506,9629,0-30K
University of California-Irvine,0.785947712,9178,0-30K
University of California-Los Angeles,0.808636222,8636,0-30K
University of California-Riverside,0.710763395,7817,0-30K
University of California-San Diego,0.850867871,8452,0-30K
University of California-Santa Barbara,0.738696418,10733,0-30K
University of California-Santa Cruz,0.750724638,10601,0-30K
California Institute of the Arts,0.622516556,41506,0-30K
California State University Maritime Academy,0.867346939,14182,0-30K
College of the Canyons,0.473300971,3642,0-30K
Cerritos College,0.431761787,1001,0-30K
Cerro Coso Community College,0.442105263,10130,0-30K
Chabot College,0.395973154,3734,0-30K
Chaffey College,0.362637363,8226,0-30K
Chapman University,0.667103539,33301,0-30K
Concordia University-Irvine,0.685082873,22489,0-30K
San Diego Christian College,0.653465347,28514,0-30K
Citrus College,0.348360656,2868,0-30K
Coastline Community College,0.470198676,9211,0-30K
Cogswell College,0.655172414,30706,0-30K
Columbia College Hollywood,0.549295775,32125,0-30K
Compton College,0.347826087,7212,0-30K
Contra Costa College,0.464788732,6046,0-30K
Cosumnes River College,0.363057325,4231,0-30K
Cuesta College,0.542944785,7966,0-30K
Cuyamaca College,0.343434343,2286,0-30K
Cypress College,0.441860465,4202,0-30K
De Anza College,0.526213592,3184,0-30K
College of the Desert,0.529411765,8945,0-30K
Diablo Valley College,0.474358974,3750,0-30K
Dominican University of California,0.686868687,26544,0-30K
El Camino Community College District,0.347826087,8051,0-30K
Evergreen Valley College,0.638888889,10410,0-30K
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,0.657663317,39468,0-30K
FIDM-Fashion Institute of Design & Merchandising-San Francisco,0.657663317,34311,0-30K
Feather River Community College District,0.301980198,7060,0-30K
Foothill College,0.586206897,3528,0-30K
Fresno City College,0.351263244,2476,0-30K
Fresno Pacific University,0.589928058,19291,0-30K
Fullerton College,0.416326531,4660,0-30K
Glendale Community College,0.643192488,3559,0-30K
Grossmont College,0.489104116,2120,0-30K
Hartnell College,0.360655738,2656,0-30K
Holy Names University,0.558139535,17925,0-30K
Humboldt State University,0.624589086,11120,0-30K
Humphreys University-Stockton and Modesto Campuses,0.346820809,7142,0-30K
Interior Designers Institute,0.673913044,29093,0-30K
Reedley College,0.369272237,3001,0-30K
Life Pacific University,0.686046512,16770,0-30K
University of La Verne,0.559139785,20618,0-30K
Laguna College of Art and Design,0.666666667,28129,0-30K
Lake Tahoe Community College,0.409090909,6554,0-30K
Laney College,0.41509434,9756,0-30K
Lassen Community College,0.204379562,7124,0-30K
La Sierra University,0.627906977,18814,0-30K
Long Beach City College,0.331556503,3327,0-30K
Los Angeles Harbor College,0.487394958,9145,0-30K
Los Angeles Pierce College,0.446194226,8817,0-30K
The Master's University and Seminary,0.8359375,23986,0-30K
Los Angeles Mission College,0.402061856,7972,0-30K
Los Medanos College,0.5,4463,0-30K
Loyola Marymount University,0.817155756,30629,0-30K
College of Marin,0.430868167,6239,0-30K
Marymount California University,0.508196721,21841,0-30K
Mendocino College,0.37755102,6768,0-30K
Menlo College,0.585858586,20007,0-30K
Mills College,0.700374532,18291,0-30K
Mission College,0.507352941,6888,0-30K
Monterey Peninsula College,0.417142857,6376,0-30K
Moorpark College,0.540983607,351,0-30K
Mt San Antonio College,0.514644352,1816,0-30K
Mount Saint Mary's University,0.672413793,26468,0-30K
Mt San Jacinto Community College District,0.314387211,4099,0-30K
Napa Valley College,0.518867925,9339,0-30K
Newschool of Architecture and Design,0.553571429,30854,0-30K
Notre Dame de Namur University,0.689655172,22158,0-30K
Occidental College,0.92,13577,0-30K
Ohlone College,0.43125,8386,0-30K
Otis College of Art and Design,0.671641791,38075,0-30K
Hope International University,0.569620253,16300,0-30K
Pacific Union College,0.641350211,17428,0-30K
University of the Pacific,0.757174393,19790,0-30K
Pasadena City College,0.544,3887,0-30K
Pepperdine University,0.758474576,26862,0-30K
Pitzer College,0.728813559,5843,0-30K
Platt College-San Diego,0.46875,26224,0-30K
Point Loma Nazarene University,0.821839081,26832,0-30K
Santa Ana College,0.532423208,3966,0-30K
University of Redlands,0.741626794,21527,0-30K
College of the Redwoods,0.398507463,3645,0-30K
Rio Hondo College,0.459227468,3775,0-30K
Riverside City College,0.479657388,5247,0-30K
Sacramento City College,0.383189122,5069,0-30K
San Diego City College,0.348809524,5259,0-30K
San Diego Mesa College,0.530434783,4718,0-30K
San Diego Miramar College,0.5,5493,0-30K
San Diego State University,0.680362709,9456,0-30K
University of San Diego,0.803225807,21868,0-30K
San Francisco Art Institute,0.515873016,40267,0-30K
San Francisco State University,0.68068622,11189,0-30K
University of San Francisco,0.702857143,22576,0-30K
San Joaquin Delta College,0.249211357,10012,0-30K
San Joaquin Valley College-Visalia,0.301164353,26908,0-30K
William Jessup University,0.760869565,16131,0-30K
San Jose State University,0.786425018,11033,0-30K
Santa Barbara Business College-Bakersfield,0.22238806,15234,0-30K
Santa Barbara City College,0.43281471,7244,0-30K
Santa Clara University,0.859813084,21208,0-30K
Santa Monica College,0.554517134,3776,0-30K
College of the Sequoias,0.512195122,710,0-30K
Shasta College,0.412,4354,0-30K
Sierra College,0.429616088,2992,0-30K
Simpson University,0.647651007,22164,0-30K
College of the Siskiyous,0.297435897,6290,0-30K
Skyline College,0.46,-216,0-30K
San Bernardino Valley College,0.381481482,6499,0-30K
Saint Mary's College of California,0.712250712,28858,0-30K
Solano Community College,0.284974093,5474,0-30K
Sonoma State University,0.666666667,11548,0-30K
Vanguard University of Southern California,0.667785235,18058,0-30K
Southwestern College,0.483240224,3193,0-30K
Southern California Institute of Architecture,0.564516129,51303,0-30K
University of Southern California,0.819032761,15210,0-30K
Epic Bible College,0.404761905,25415,0-30K
Ventura College,0.452012384,323,0-30K
Victor Valley College,0.271052632,8131,0-30K
Berkeley City College,0.357487923,5072,0-30K
Walden University,0.357506361,22915,0-30K
West Hills College-Coalinga,0.369565217,6642,0-30K
West Valley College,0.547169811,5811,0-30K
Whittier College,0.681528662,19324,0-30K
Woodbury University,0.633540373,22509,0-30K
Yuba College,0.344709898,2643,0-30K
Adams State University,0.420180723,10933,0-30K
Arapahoe Community College,0.478551001,6830,0-30K
Bel-Rea Institute of Animal Technology,0.508474576,16954,0-30K
University of Colorado Denver/Anschutz Medical Campus,0.683900524,12099,0-30K
University of Colorado Colorado Springs,0.695136418,12183,0-30K
Spartan College of Aeronautics and Technology,0.437665783,23582,0-30K
University of Colorado Boulder,0.729922665,13049,0-30K
Colorado Christian University,0.622739018,21859,0-30K
Colorado Northwestern Community College,0.628787879,11444,0-30K
Colorado School of Mines,0.895522388,17386,0-30K
Colorado School of Trades,0.555555556,16909,0-30K
Colorado State University-Fort Collins,0.728833629,12834,0-30K
Colorado Technical University-Colorado Springs,0.313446859,15412,0-30K
Community College of Aurora,0.395320197,15072,0-30K
Community College of Denver,0.416447368,5512,0-30K
University of Denver,0.706349206,16095,0-30K
Fort Lewis College,0.582897033,12152,0-30K
Lamar Community College,0.342222222,8062,0-30K
Colorado Mesa University,0.544474394,15884,0-30K
Metropolitan State University of Denver,0.54709175,13488,0-30K
Naropa University,0.633093525,22849,0-30K
University of Northern Colorado,0.692645445,9720,0-30K
Regis University,0.663648124,21691,0-30K
Rocky Mountain College of Art and Design,0.515789474,21048,0-30K
Colorado State University-Pueblo,0.547667343,10276,0-30K
Intellitec College-Colorado Springs,0.281795511,17911,0-30K
Western Colorado University,0.642384106,13562,0-30K
Albertus Magnus College,0.454301075,25542,0-30K
University of Bridgeport,0.542857143,21284,0-30K
Central Connecticut State University,0.639956092,12674,0-30K
Connecticut College,0.8,19893,0-30K
University of Connecticut,0.792467949,11789,0-30K
Goodwin College,0.33880422,13642,0-30K
Eastern Connecticut State University,0.70610687,14716,0-30K
Fairfield University,0.821192053,29266,0-30K
Capital Community College,0.55,5345,0-30K
University of Hartford,0.674672489,25554,0-30K
Housatonic Community College,0.388429752,6031,0-30K
Manchester Community College,0.6875,6148,0-30K
Naugatuck Valley Community College,0.488636364,5084,0-30K
Middlesex Community College,0.416666667,5912,0-30K
Mitchell College,0.478527607,23576,0-30K
Three Rivers Community College,0.518181818,6610,0-30K
University of New Haven,0.613537118,29212,0-30K
Norwalk Community College,0.488888889,6896,0-30K
Post University,0.44534413,8039,0-30K
Quinnipiac University,0.793918919,32775,0-30K
Sacred Heart University,0.726726727,34545,0-30K
University of Saint Joseph,0.642105263,28164,0-30K
Gateway Community College,0.525,6655,0-30K
Southern Connecticut State University,0.622892635,15826,0-30K
Trinity College,0.791666667,5388,0-30K
Tunxis Community College,0.62406015,7391,0-30K
Wesleyan University,0.895424837,5287,0-30K
Western Connecticut State University,0.662813102,18440,0-30K
Yale University,0.894179894,2315,0-30K
Delaware Technical Community College-Terry,0.434977579,8262,0-30K
Delaware State University,0.375178317,12265,0-30K
University of Delaware,0.754560531,10397,0-30K
Goldey-Beacom College,0.452702703,12529,0-30K
Wesley College,0.433604336,20325,0-30K
Wilmington University,0.482580645,15371,0-30K
American University,0.78974359,21371,0-30K
The Catholic University of America,0.795454546,31035,0-30K
University of the District of Columbia,0.44966443,16065,0-30K
Gallaudet University,0.657142857,13354,0-30K
George Washington University,0.831395349,16156,0-30K
Georgetown University,0.853018373,6024,0-30K
Howard University,0.426497278,37167,0-30K
Trinity Washington University,0.43081761,15055,0-30K
The Baptist College of Florida,0.556701031,7563,0-30K
Barry University,0.534867002,16157,0-30K
Bethune-Cookman University,0.334767642,14048,0-30K
Lynn University,0.497237569,32467,0-30K
Eastern Florida State College,0.39116095,5579,0-30K
Broward College,0.464563863,8075,0-30K
Carlos Albizu University-Miami,0.479623825,25409,0-30K
College of Central Florida,0.390140845,6253,0-30K
Johnson University Florida,0.8,12521,0-30K
University of Central Florida,0.673072304,9001,0-30K
Chipola College,0.432835821,1151,0-30K
Daytona State College,0.349412492,5610,0-30K
South University-West Palm Beach,0.278613072,19799,0-30K
Eckerd College,0.566176471,24109,0-30K
Florida SouthWestern State College,0.47628866,8730,0-30K
Edward Waters College,0.268867925,12068,0-30K
Embry-Riddle Aeronautical University-Daytona Beach,0.670274771,25535,0-30K
Florida Agricultural and Mechanical University,0.484941074,13440,0-30K
Florida Atlantic University,0.625,5175,0-30K
Florida State College at Jacksonville,0.423924828,2893,0-30K
Flagler College-St Augustine,0.607843137,19564,0-30K
Florida College,0.714285714,16646,0-30K
AdventHealth University,0.640586797,16192,0-30K
Florida Institute of Technology,0.396124865,28408,0-30K
Florida International University,0.638853772,6348,0-30K
The College of the Florida Keys,0.398148148,11794,0-30K
Florida Memorial University,0.269417476,16302,0-30K
Florida Southern College,0.647887324,21141,0-30K
Florida State University,0.694187583,5168,0-30K
University of Florida,0.722676002,3397,0-30K
Full Sail University,0.431460674,25797,0-30K
Gulf Coast State College,0.476843911,1657,0-30K
Hillsborough Community College,0.441233141,4613,0-30K
Indian River State College,0.40060241,721,0-30K
AI Miami International University of Art and Design,0.353896104,15807,0-30K
Jacksonville University,0.585924714,17486,0-30K
Keiser University-Ft Lauderdale,0.35594522,30118,0-30K
Florida Gateway College,0.491869919,1224,0-30K
Lake-Sumter State College,0.446808511,2691,0-30K
State College of Florida-Manatee-Sarasota,0.381772152,12351,0-30K
Miami Dade College,0.475302245,6014,0-30K
University of Miami,0.744160178,23694,0-30K
University of North Florida,0.612348822,4888,0-30K
Nova Southeastern University,0.488707654,22830,0-30K
Northwest Florida State College,0.473684211,4412,0-30K
Palm Beach Atlantic University,0.542094456,20993,0-30K
Palm Beach State College,0.441624366,2014,0-30K
Pasco-Hernando State College,0.426771654,3479,0-30K
Pensacola State College,0.504032258,2396,0-30K
Polk State College,0.661290323,7262,0-30K
Ringling College of Art and Design,0.61827957,42279,0-30K
Rollins College,0.582524272,23916,0-30K
Saint Leo University,0.428399519,16575,0-30K
St Petersburg College,0.402809633,1640,0-30K
Santa Fe College,0.418320611,11363,0-30K
Seminole State College of Florida,0.411764706,7538,0-30K
Saint Johns River State College,0.366942149,4462,0-30K
South Florida State College,0.42,5302,0-30K
University of South Florida-Main Campus,0.648353716,6061,0-30K
St. Thomas University,0.512328767,16008,0-30K
Stetson University,0.741935484,23380,0-30K
Southeastern University,0.651546392,22644,0-30K
Tallahassee Community College,0.381053269,2759,0-30K
Altierus Career College-Tampa,0.184114751,20646,0-30K
The University of Tampa,0.645522388,27430,0-30K
Trinity Baptist College,0.509433962,14033,0-30K
Trinity College of Florida,0.456521739,15624,0-30K
Valencia College,0.411306043,5291,0-30K
Warner University,0.448412698,15573,0-30K
Webber International University,0.490196078,20813,0-30K
Rasmussen College-Florida,0.300735612,18248,0-30K
The University of West Florida,0.592207792,4622,0-30K
Abraham Baldwin Agricultural College,0.3575,6460,0-30K
Agnes Scott College,0.707317073,17581,0-30K
Albany State University,0.307170543,12033,0-30K
Andrew College,0.365853659,21870,0-30K
The Art Institute of Atlanta,0.311550152,19983,0-30K
Point University,0.4,17754,0-30K
Atlanta Metropolitan State College,0.329646018,4671,0-30K
Clark Atlanta University,0.410037879,31511,0-30K
Berry College,0.78761062,17460,0-30K
Beulah Heights University,0.196969697,11504,0-30K
Brenau University,0.612826603,23353,0-30K
Brewton-Parker College,0.483775811,18143,0-30K
College of Coastal Georgia,0.362573099,11652,0-30K
Clayton  State University,0.473105135,9965,0-30K
Columbus State University,0.410169492,10224,0-30K
Covenant College,0.725490196,16921,0-30K
Dalton State College,0.411449016,5054,0-30K
South University-Savannah,0.278613072,22133,0-30K
East Georgia State College,0.303405573,5021,0-30K
Emmanuel College,0.552238806,16570,0-30K
Emory University,0.817109145,11865,0-30K
Georgia Highlands College,0.427238806,5103,0-30K
Fort Valley State University,0.296082949,13470,0-30K
Georgia Institute of Technology-Main Campus,0.844051447,9115,0-30K
Georgia Southwestern State University,0.492248062,10844,0-30K
Georgia College & State University,0.695876289,15854,0-30K
Georgia Southern University,0.542285714,12940,0-30K
Georgia State University,0.524506874,12511,0-30K
University of Georgia,0.684210526,9023,0-30K
Gordon State College,0.319173364,9704,0-30K
Gupton Jones College of Funeral Service,0.313043478,17744,0-30K
LaGrange College,0.531578947,19666,0-30K
Life University,0.463320463,25095,0-30K
Herzing University-Atlanta,0.323170732,22492,0-30K
Mercer University,0.533907427,17998,0-30K
Morehouse College,0.412526998,38599,0-30K
Oglethorpe University,0.58,19145,0-30K
Paine College,0.257879656,14556,0-30K
Piedmont College,0.50617284,15342,0-30K
Reinhardt University,0.439655172,20688,0-30K
Savannah College of Art and Design,0.511392405,39498,0-30K
Savannah State University,0.303448276,9043,0-30K
Shorter University,0.430930931,17650,0-30K
Spelman College,0.590625,37360,0-30K
Thomas University,0.408783784,17256,0-30K
Toccoa Falls College,0.660377359,20629,0-30K
Truett McConnell University,0.320512821,15171,0-30K
Valdosta State University,0.46684176,12168,0-30K
Wesleyan College,0.456692913,11215,0-30K
University of West Georgia,0.501847746,14076,0-30K
Young Harris College,0.638888889,14757,0-30K
Chaminade University of Honolulu,0.605898123,24963,0-30K
University of Hawaii at Hilo,0.639691715,12702,0-30K
University of Hawaii at Manoa,0.740112994,11391,0-30K
Hawaii Pacific University,0.670870114,23993,0-30K
Honolulu Community College,0.553571429,6940,0-30K
Kapiolani Community College,0.615873016,5686,0-30K
Leeward Community College,0.464912281,3367,0-30K
University of Hawaii Maui College,0.418067227,9186,0-30K
University of Hawaii-West Oahu,0.637037037,7728,0-30K
Windward Community College,0.425641026,9719,0-30K
Boise State University,0.586921334,11722,0-30K
College of Eastern Idaho,0.583710407,11159,0-30K
Idaho State University,0.531964355,14622,0-30K
University of Idaho,0.666399359,11519,0-30K
The College of Idaho,0.80952381,19589,0-30K
Lewis-Clark State College,0.57439825,8529,0-30K
North Idaho College,0.503626943,6625,0-30K
Northwest Nazarene University,0.714285714,13023,0-30K
Brigham Young University-Idaho,0.826943557,4256,0-30K
College of Southern Idaho,0.47922999,5226,0-30K
American Academy of Art,0.444444444,26257,0-30K
School of the Art Institute of Chicago,0.613569322,38308,0-30K
Augustana College,0.806722689,17208,0-30K
Aurora University,0.668449198,14036,0-30K
Black Hawk College,0.451990632,4083,0-30K
Blackburn College,0.458715596,15116,0-30K
Bradley University,0.696428571,16275,0-30K
Carl Sandburg College,0.573459716,942,0-30K
Chicago State University,0.355434783,9944,0-30K
University of Chicago,0.864583333,3178,0-30K
City Colleges of Chicago-Harold Washington College,0.241830065,2844,0-30K
Columbia College Chicago,0.412801484,27020,0-30K
Concordia University-Chicago,0.523076923,14242,0-30K
Danville Area Community College,0.460674157,4971,0-30K
DePaul University,0.609817814,24170,0-30K
College of DuPage,0.445229682,4451,0-30K
East-West University,0.213471503,18314,0-30K
Eastern Illinois University,0.591763653,12082,0-30K
Elgin Community College,0.427974948,3558,0-30K
Elmhurst College,0.708474576,16170,0-30K
Eureka College,0.701492537,17389,0-30K
Fox College,0.563535912,12431,0-30K
Governors State University,0.542682927,16721,0-30K
Greenville University,0.653225807,18117,0-30K
University of Illinois at Chicago,0.730183727,10632,0-30K
Benedictine University,0.637931035,21202,0-30K
University of Illinois at Urbana-Champaign,0.769466585,6725,0-30K
Illinois Wesleyan University,0.790697674,19120,0-30K
Illinois Central College,0.3728,7889,0-30K
Illinois College,0.826530612,12366,0-30K
Olney Central College,0.415254237,1219,0-30K
Illinois Institute of Technology,0.821428571,17714,0-30K
Illinois State University,0.69352518,14368,0-30K
John A Logan College,0.451612903,6244,0-30K
John Wood Community College,0.491803279,4852,0-30K
Joliet Junior College,0.338,3202,0-30K
Judson University,0.604878049,18416,0-30K
Kaskaskia College,0.333333333,6176,0-30K
Kishwaukee College,0.369109948,5282,0-30K
Knox College,0.78125,14622,0-30K
Lake Forest College,0.842519685,17805,0-30K
Lewis and Clark Community College,0.491646778,2006,0-30K
Lewis University,0.642710472,13290,0-30K
Lincoln Christian University,0.616541353,14284,0-30K
Lincoln College,0.351405623,14754,0-30K
Lincoln Land Community College,0.37845706,3953,0-30K
Loyola University Chicago,0.764093669,28591,0-30K
MacCormac College,0.348837209,15291,0-30K
MacMurray College,0.64171123,14719,0-30K
McHenry County College,0.43220339,4787,0-30K
McKendree University,0.602373887,15855,0-30K
Methodist College,0.568181818,29805,0-30K
Midstate College,0.371014493,16691,0-30K
Millikin University,0.649171271,16053,0-30K
Monmouth College,0.696296296,13137,0-30K
Moraine Valley Community College,0.453038674,3549,0-30K
Morton College,0.264204546,3301,0-30K
National Louis University,0.48907767,13647,0-30K
North Central College,0.716981132,19244,0-30K
North Park University,0.70030581,17145,0-30K
Northern Illinois University,0.638990639,20754,0-30K
Northwestern University,0.841530055,13419,0-30K
Northeastern Illinois University,0.658634538,18784,0-30K
Olivet Nazarene University,0.587896254,16713,0-30K
Parkland College,0.37164751,8923,0-30K
Quincy University,0.610526316,10905,0-30K
Robert Morris University Illinois,0.396735273,22682,0-30K
Rock Valley College,0.45945946,6687,0-30K
Rockford University,0.667910448,19524,0-30K
Roosevelt University,0.523809524,19684,0-30K
Dominican University,0.717488789,15162,0-30K
University of St Francis,0.646586345,16108,0-30K
Saint Xavier University,0.568281938,11866,0-30K
University of Illinois at Springfield,0.61954262,10135,0-30K
Southern Illinois University-Carbondale,0.522875817,13801,0-30K
Southern Illinois University-Edwardsville,0.655960029,8143,0-30K
Trinity Christian College,0.66023166,18824,0-30K
Trinity International University-Illinois,0.549242424,19894,0-30K
Triton College,0.46692607,4079,0-30K
Waubonsee Community College,0.433962264,3633,0-30K
Western Illinois University,0.646680942,13798,0-30K
Ancilla College,0.360189574,15493,0-30K
Anderson University,0.505084746,21648,0-30K
Ball State University,0.655359566,8419,0-30K
Bethel University,0.620879121,16920,0-30K
Butler University,0.827380952,25854,0-30K
Calumet College of Saint Joseph,0.447284345,8593,0-30K
DePauw University,0.851851852,13591,0-30K
Earlham College,0.830985916,15973,0-30K
University of Evansville,0.807860262,15866,0-30K
Franklin College,0.737373737,17016,0-30K
Goshen College,0.756097561,15991,0-30K
Grace College and Theological Seminary,0.807692308,14771,0-30K
Holy Cross College,0.516666667,19681,0-30K
Huntington University,0.802197802,16116,0-30K
Purdue University Fort Wayne,0.516129032,7300,0-30K
Indiana University-Purdue University-Indianapolis,0.570509383,4715,0-30K
University of Indianapolis,0.46969697,14768,0-30K
Indiana Institute of Technology,0.408360129,18830,0-30K
University of Southern Indiana,0.545224007,8005,0-30K
Indiana State University,0.560338201,9434,0-30K
Indiana University-Kokomo,0.525581395,2989,0-30K
Indiana University-South Bend,0.499217527,4557,0-30K
Indiana University-Bloomington,0.700169396,5040,0-30K
Indiana University-Northwest,0.388451444,2720,0-30K
Indiana University-Southeast,0.546067416,5962,0-30K
Indiana University-East,0.382838284,3386,0-30K
International Business College-Fort Wayne,0.473451327,14084,0-30K
International Business College-Indianapolis,0.473451327,12474,0-30K
Manchester University,0.585185185,19575,0-30K
Marian University,0.52994012,13979,0-30K
Indiana Wesleyan University-Marion,0.540478905,14509,0-30K
Martin University,0.2,13688,0-30K
Mid-America College of Funeral Service,0.47826087,15994,0-30K
University of Notre Dame,0.88,12607,0-30K
Oakland City University,0.467455621,13815,0-30K
University of Saint Francis-Fort Wayne,0.625806452,14940,0-30K
Saint Mary-of-the-Woods College,0.538461539,15791,0-30K
Taylor University,0.77540107,15959,0-30K
Trine University,0.519855596,20300,0-30K
Valparaiso University,0.675105485,17193,0-30K
Vincennes University,0.414403778,8619,0-30K
Wabash College,0.66,14729,0-30K
Briar Cliff University,0.656779661,15794,0-30K
Buena Vista University,0.667938931,15313,0-30K
Central College,0.677777778,17053,0-30K
Clarke University,0.675977654,19010,0-30K
Coe College,0.844262295,16518,0-30K
Cornell College,0.817073171,22796,0-30K
Des Moines Area Community College,0.375752106,7966,0-30K
Dordt University,0.901960784,23225,0-30K
Drake University,0.812749004,22298,0-30K
University of Dubuque,0.629757786,20548,0-30K
Ellsworth Community College,0.430508475,8694,0-30K
Eastern Iowa Community College District,0.398939695,8759,0-30K
Graceland University-Lamoni,0.653846154,15673,0-30K
Grand View University,0.648648649,16302,0-30K
Hamilton Technical College,0.389830509,18561,0-30K
Hawkeye Community College,0.419391853,9392,0-30K
Indian Hills Community College,0.380233356,6348,0-30K
Iowa Central Community College,0.408657373,8006,0-30K
Iowa Lakes Community College,0.488529015,8218,0-30K
Iowa State University,0.763464742,9801,0-30K
Iowa Wesleyan University,0.533057851,24558,0-30K
Iowa Western Community College,0.465502909,8946,0-30K
University of Iowa,0.723362012,10599,0-30K
Kirkwood Community College,0.415104446,7549,0-30K
Loras College,0.869230769,13973,0-30K
Luther College,0.8359375,17555,0-30K
Maharishi University of Management,0.7,14747,0-30K
Marshalltown Community College,0.389791183,5640,0-30K
Mercy College of Health Sciences,0.702040816,13179,0-30K
Morningside College,0.797927461,20748,0-30K
Mount Mercy University,0.761133603,17761,0-30K
Ashford University,0.278638288,18761,0-30K
North Iowa Area Community College,0.415812592,5809,0-30K
University of Northern Iowa,0.683235046,12069,0-30K
